customer_id;bsn_number;first_name;last_name;address;country;post_code;email
CA7000;20000001;James;Butt;6649 N Blue Gum St;Orleans;70116;jbutt@gmail.com
CA7001;20000002;Josephine;Darakjy;4 B Blue Ridge Blvd;Livingston;48116;josephine_darakjy@darakjy.org
CA7002;20000003;Art;Venere;8 W Cerritos Ave #54;Gloucester;8014;art@venere.org
CA7003;20000004;Lenna;Paprocki;639 Main St;Anchorage;99501;lpaprocki@hotmail.com
CA7004;20000005;Donette;Foller;34 Center St;Butler;45011;donette.foller@cox.net
CA7005;20000006;Simona;Morasca;3 Mcauley Dr;Ashland;44805;simona@morasca.com
CA7006;20000007;Mitsue;Tollner;7 Eads St;Cook;60632;mitsue_tollner@yahoo.com
CA7007;20000008;Leota;Dilliard;7 W Jackson Blvd;Santa Clara;95111;leota@hotmail.com
CA7008;20000009;Sage;Wieser;5 Boston Ave #88;Minnehaha;57105;sage_wieser@cox.net
CA7009;20000010;Kris;Marrier;228 Runamuck Pl #2808;Baltimore City;21224;kris@gmail.com
CA7010;20000011;Minna;Amigon;2371 Jerrold Ave;Montgomery;19443;minna_amigon@yahoo.com
CA7011;20000012;Abel;Maclead;37275 St  Rt 17m M;Suffolk;11953;amaclead@gmail.com
CA7012;20000013;Kiley;Caldarera;25 E 75th St #69;Los Angeles;90034;kiley.caldarera@aol.com
CA7013;20000014;Graciela;Ruta;98 Connecticut Ave Nw;Geauga;44023;gruta@cox.net
CA7014;20000015;Cammy;Albares;56 E Morehead St;Webb;78045;calbares@gmail.com
CA7015;20000016;Mattie;Poquette;73 State Road 434 E;Maricopa;85013;mattie@aol.com
CA7016;20000017;Meaghan;Garufi;69734 E Carrillo St;Warren;37110;meaghan@hotmail.com
CA7017;20000018;Gladys;Rim;322 New Horizon Blvd;Milwaukee;53207;gladys.rim@rim.org
CA7018;20000019;Yuki;Whobrey;1 State Route 27;Wayne;48180;yuki_whobrey@aol.com
CA7019;20000020;Fletcher;Flosi;394 Manchester Blvd;Winnebago;61109;fletcher.flosi@yahoo.com
CA7020;20000021;Bette;Nicka;6 S 33rd St;Delaware;19014;bette_nicka@cox.net
CA7021;20000022;Veronika;Inouye;6 Greenleaf Ave;Santa Clara;95111;vinouye@aol.com
CA7022;20000023;Willard;Kolmetz;618 W Yakima Ave;Dallas;75062;willard@hotmail.com
CA7023;20000024;Maryann;Royster;74 S Westgate St;Albany;12204;mroyster@royster.com
CA7024;20000025;Alisha;Slusarski;3273 State St;Middlesex;8846;alisha@slusarski.com
CA7025;20000026;Allene;Iturbide;1 Central Ave;Portage;54481;allene_iturbide@cox.net
CA7026;20000027;Chanel;Caudy;86 Nw 66th St #8673;Johnson;66218;chanel.caudy@caudy.org
CA7027;20000028;Ezekiel;Chui;2 Cedar Ave #84;Talbot;21601;ezekiel@chui.com
CA7028;20000029;Willow;Kusko;90991 Thorburn Ave;New York;10011;wkusko@yahoo.com
CA7029;20000030;Bernardo;Figeroa;386 9th Ave N;Montgomery;77301;bfigeroa@aol.com
CA7030;20000031;Ammie;Corrio;74874 Atlantic Ave;Franklin;43215;ammie@corrio.com
CA7031;20000032;Francine;Vocelka;366 South Dr;Dona Ana;88011;francine_vocelka@vocelka.com
