customer_id;bsn_number;first_name;last_name;address;country;post_code;email
CA1000;100000001;Aleshia;Tomkiewicz;14 Taylor St;Kent;CT2 7PP;atomkiewicz@hotmail.com
CA1001;100000002;Evan;Zigomalas;5 Binney St;Buckinghamshire;HP11 2AX;evan.zigomalas@gmail.com
CA1002;100000003;France;Andrade;8 Moor Place;Bournemouth;BH6 3BE;france.andrade@hotmail.com
CA1003;100000004;Ulysses;Mcwalters;505 Exeter Rd;Lincolnshire;DN36 5RP;ulysses@hotmail.com
CA1004;100000005;Tyisha;Veness;5396 Forth Street;West Midlands;B70 9DT;tyisha.veness@hotmail.com
CA1005;100000006;Eric;Rampy;9472 Lind St;Northamptonshire;NN14 2GH;erampy@rampy.co.uk
CA1006;100000007;Marg;Grasmick;7457 Cowl St #70;Southampton;SO14 3TY;marg@hotmail.com
CA1007;100000008;Laquita;Hisaw;20 Gloucester Pl #96;Tyne & Wear;NE29 7AD;laquita@yahoo.com
CA1008;100000009;Lura;Manzella;929 Augustine St;South Gloucestershire;BS16 4LL;lura@hotmail.com
CA1009;100000010;Yuette;Klapec;45 Bradfield St #166;Derbyshire;DE6 1QN;yuette.klapec@klapec.co.uk
CA1010;100000011;Fernanda;Writer;620 Northampton St;Kent;DA2 7PP;fernanda@writer.co.uk
CA1011;100000012;Charlesetta;Erm;5 Hygeia St;Derbyshire;S40 4LY;charlesetta_erm@gmail.com
CA1012;100000013;Corrinne;Jaret;2150 Morley St;Dumfries and Galloway;DG8 7DE;corrinne_jaret@gmail.com
CA1013;100000014;Niesha;Bruch;24 Bolton St;West Lothian;EH52 5TL;niesha.bruch@yahoo.com
CA1014;100000015;Rueben;Gastellum;4 Forrest St;North Somerset;BS23 3HG;rueben_gastellum@gastellum.co.uk
CA1015;100000016;Michell;Throssell;89 Noon St;Norfolk;IP25 6JQ;mthrossell@throssell.co.uk
CA1016;100000017;Edgar;Kanne;99 Guthrie St;Hampshire;BH25 5DF;edgar.kanne@yahoo.com
CA1017;100000018;Dewitt;Julio;7 Richmond St;Devon;EX39 5DJ;dewitt.julio@hotmail.com
CA1018;100000019;Charisse;Spinello;9165 Primrose St;Yorkshire, South;S4 7WN;charisse_spinello@spinello.co.uk
CA1019;100000020;Mee;Lapinski;9 Pengwern St;Devon;TQ3 1SA;mee.lapinski@yahoo.com
CA1020;100000021;Peter;Gutierres;4410 Tarlton St;Denbighshire;LL19 9EG;peter_gutierres@yahoo.com
CA1021;100000022;Octavio;Salvadore;6949 Bourne St;West Midlands;DY5 2QP;octavio.salvadore@yahoo.com
CA1022;100000023;Martha;Teplica;148 Rembrandt St;Surrey;CR6 9SW;mteplica@teplica.co.uk
