DateTime;account_no;Description;credit_debit_ind;txn_amount
2021/08/29 00:54:56.859 +02:00;KN11000002000;IMPS;D;4992.5
2021/08/29 00:54:56.859 +02:00;KN11000002001;Miscellaneous;D;6656.66
2021/08/29 00:54:56.859 +02:00;KN11000002002;Bill;D;1664.17
2021/08/29 00:54:56.859 +02:00;KN11000002003;Interest;D;1664.17
2021/08/29 00:54:56.859 +02:00;KN11000002004;Debit Card;C;319.0
2021/08/29 00:54:56.859 +02:00;KN11000002005;Tax;D;1030.4
2021/08/29 00:54:56.859 +02:00;KN11000002006;Transfer;C;2071.2
2021/08/29 00:54:56.859 +02:00;KN11000002007;NEFT;C;47.0
2021/08/29 00:54:56.859 +02:00;KN11000002008;Commission;D;2278.36
2021/08/29 00:54:56.859 +02:00;KN11000002009;Commission;C;3.0
2021/08/29 00:54:56.859 +02:00;KN11000002010;IMPS;D;1519.41
2021/08/29 00:54:56.859 +02:00;KN11000002011;Reversal;D;7597.02
2021/08/29 00:54:56.859 +02:00;KN11000002012;Debit Card;C;345.0
2021/08/29 00:54:56.859 +02:00;KN11000002013;Interest;C;7861.82
2021/08/29 00:54:56.859 +02:00;KN11000002014;Miscellaneous;D;4103.41
2021/08/29 00:54:56.859 +02:00;KN11000002015;Interest;D;1367.8
2021/08/29 00:54:56.859 +02:00;KN11000002016;NEFT;C;5.0
2021/08/29 00:54:56.859 +02:00;KN11000002017;Transfer;D;685.15
2021/08/29 00:54:56.859 +02:00;KN11000002018;ATM;D;228.38
2021/08/29 00:54:56.859 +02:00;KN11000002019;Transfer;C;228586.0
2021/08/29 00:54:56.859 +02:00;KN11000002020;Debit Card;C;13.7
2021/08/29 00:54:56.859 +02:00;KN11000002021;RTGS;D;38404.46
2021/08/29 00:54:56.859 +02:00;KN11000002022;Interest;C;2250.49
2021/08/29 00:54:56.859 +02:00;KN11000002023;Miscellaneous;C;6137.25
2021/08/29 00:54:56.859 +02:00;KN11000002024;Commission;C;201.0
2021/08/29 00:54:56.861 +02:00;KN11000002025;NEFT;C;407.8
2021/08/29 00:54:56.861 +02:00;KN11000002026;Cash;D;67006.29
2021/08/29 00:54:56.861 +02:00;KN11000002027;Interest;D;26802.51
2021/08/29 00:54:56.861 +02:00;KN11000002028;Miscellaneous;C;8.0
2021/08/29 00:54:56.861 +02:00;KN11000002029;Cheque;D;107218.06
2021/08/29 00:54:56.861 +02:00;KN11000002030;IMPS;C;3017.0
2021/08/29 00:54:56.861 +02:00;KN11000002031;Miscellaneous;D;431.0
2021/08/29 00:54:56.861 +02:00;KN11000002032;Purchase;C;2.7
2021/08/29 00:54:56.861 +02:00;KN11000002033;Bill;D;369.81
2021/08/29 00:54:56.861 +02:00;KN11000002034;Bill;C;3524.21
2021/08/29 00:54:56.861 +02:00;KN11000002035;Miscellaneous;D;717.89
2021/08/29 00:54:56.861 +02:00;KN11000002036;NEFT;D;2512.61
2021/08/29 00:54:56.861 +02:00;KN11000002037;ATM;D;418.77
2021/08/29 00:54:56.861 +02:00;KN11000002038;Commission;C;72645.0
2021/08/29 00:54:56.861 +02:00;KN11000002039;NEFT;C;40851.5
2021/08/29 00:54:56.861 +02:00;KN11000002040;Miscellaneous;D;23118.07
2021/08/29 00:54:56.861 +02:00;KN11000002041;IMPS;D;46236.13
2021/08/29 00:54:56.861 +02:00;KN11000002042;RTGS;D;5137.35
2021/08/29 00:54:56.861 +02:00;KN11000002043;Bill;D;6849.8
2021/08/29 00:54:56.861 +02:00;KN11000002044;NEFT;D;17124.49
2021/08/29 00:54:56.861 +02:00;KN11000002045;Reversal;C;339.0
