DateTime;account_no;Description;credit_debit_ind;txn_amount
2021/08/29 00:54:56.750 +02:00;KN11000000001;Cash;C;97540.0
2021/08/29 00:54:56.751 +02:00;KN11000000002;Commission;D;34108.4
2021/08/29 00:54:56.751 +02:00;KN11000000003;ATM;C;41.0
2021/08/29 00:54:56.751 +02:00;KN11000000004;Interest;C;50.0
2021/08/29 00:54:56.751 +02:00;KN11000000005;Commission;D;34131.15
2021/08/29 00:54:56.751 +02:00;KN11000000006;Reversal;D;17065.58
2021/08/29 00:54:56.751 +02:00;KN11000000007;Reversal;C;204765.0
2021/08/29 00:54:56.751 +02:00;KN11000000008;Cheque;C;53121.0
2021/08/29 00:54:56.751 +02:00;KN11000000009;NEFT;C;7.1
2021/08/29 00:54:56.751 +02:00;KN11000000010;IMPS;C;3.46
2021/08/29 00:54:56.751 +02:00;KN11000000011;Transfer;C;3.0
2021/08/29 00:54:56.751 +02:00;KN11000000012;RTGS;C;223558.62
2021/08/29 00:54:56.751 +02:00;KN11000000013;ATM;C;496536.75
2021/08/29 00:54:56.751 +02:00;KN11000000014;Reversal;C;770726.0
2021/08/29 00:54:56.751 +02:00;KN11000000015;Interest;D;1834048.81
2021/08/29 00:54:56.751 +02:00;KN11000000016;Bill;C;0.01
2021/08/29 00:54:56.751 +02:00;KN11000000017;Commission;C;18690.68
2021/08/29 00:54:56.751 +02:00;KN11000000018;Cash;D;1869.07
2021/08/29 00:54:56.751 +02:00;KN11000000019;Cheque;C;190.0
2021/08/29 00:54:56.751 +02:00;KN11000000020;Tax;C;55.0
2021/08/29 00:54:56.751 +02:00;KN11000000021;ATM;D;1896.29
2021/08/29 00:54:56.751 +02:00;KN11000000022;Transfer;D;3034.07
2021/08/29 00:54:56.751 +02:00;KN11000000023;ATM;C;26.6
2021/08/29 00:54:56.751 +02:00;KN11000000024;ATM;D;6081.43
2021/08/29 00:54:56.751 +02:00;KN11000000025;NEFT;C;1986737.8
2021/08/29 00:54:56.753 +02:00;KN11000000026;Reversal;D;664273.08
2021/08/29 00:54:56.753 +02:00;KN11000000027;Cash;C;3.81
2021/08/29 00:54:56.753 +02:00;KN11000000028;RTGS;C;1474.0
2021/08/29 00:54:56.753 +02:00;KN11000000029;Interest;D;147780.44
2021/08/29 00:54:56.753 +02:00;KN11000000030;Bill;D;168891.93
2021/08/29 00:54:56.753 +02:00;KN11000000031;Transfer;C;191.0
2021/08/29 00:54:56.753 +02:00;KN11000000032;Interest;C;22709.69
2021/08/29 00:54:56.753 +02:00;KN11000000033;ATM;C;44.0
2021/08/29 00:54:56.753 +02:00;KN11000000034;Interest;C;54.05
2021/08/29 00:54:56.753 +02:00;KN11000000035;IMPS;C;178.0
2021/08/29 00:54:56.753 +02:00;KN11000000036;ATM;D;518264.17
2021/08/29 00:54:56.753 +02:00;KN11000000037;Miscellaneous;D;103652.83
2021/08/29 00:54:56.753 +02:00;KN11000000038;Cash;C;16.0
2021/08/29 00:54:56.753 +02:00;KN11000000039;Transfer;D;46069.7
2021/08/29 00:54:56.753 +02:00;KN11000000040;Debit Card;D;184278.82
2021/08/29 00:54:56.753 +02:00;KN11000000041;NEFT;D;30713.14
2021/08/29 00:54:56.753 +02:00;KN11000000042;Cash;C;14418.1
2021/08/29 00:54:56.753 +02:00;KN11000000043;RTGS;D;33596.76
2021/08/29 00:54:56.753 +02:00;KN11000000044;Purchase;D;44795.67
2021/08/29 00:54:56.753 +02:00;KN11000000045;Debit Card;C;492.86
2021/08/29 00:54:56.753 +02:00;KN11000000046;ATM;D;90084.21
2021/08/29 00:54:56.753 +02:00;KN11000000047;RTGS;C;8.0
2021/08/29 00:54:56.753 +02:00;KN11000000048;Bill;C;7099.0
2021/08/29 00:54:56.753 +02:00;KN11000000049;Purchase;C;2.6
2021/08/29 00:54:56.753 +02:00;KN11000000050;NEFT;C;772.4
2021/08/29 00:54:56.753 +02:00;KN11000000051;Bill;C;1335369.25
2021/08/29 00:54:56.753 +02:00;KN11000000052;NEFT;C;31237.0
2021/08/29 00:54:56.753 +02:00;KN11000000053;Transfer;D;137448.83
2021/08/29 00:54:56.753 +02:00;KN11000000054;IMPS;D;412346.47
2021/08/29 00:54:56.753 +02:00;KN11000000055;Commission;D;412346.48
2021/08/29 00:54:56.753 +02:00;KN11000000056;Bill;D;51543.31
2021/08/29 00:54:56.753 +02:00;KN11000000057;NEFT;D;90200.79
2021/08/29 00:54:56.753 +02:00;KN11000000058;NEFT;C;6.6
2021/08/29 00:54:56.753 +02:00;KN11000000059;Reversal;D;45101.5
2021/08/29 00:54:56.753 +02:00;KN11000000060;RTGS;C;217183.1
2021/08/29 00:54:56.755 +02:00;KN11000000061;RTGS;D;221345.29
2021/08/29 00:54:56.755 +02:00;KN11000000062;Debit Card;C;17021.0
2021/08/29 00:54:56.755 +02:00;KN11000000063;Commission;C;128690.25
2021/08/29 00:54:56.755 +02:00;KN11000000064;Reversal;C;3749.1
2021/08/29 00:54:56.755 +02:00;KN11000000065;Miscellaneous;C;2585.2
2021/08/29 00:54:56.755 +02:00;KN11000000066;NEFT;C;1339.0
2021/08/29 00:54:56.755 +02:00;KN11000000067;Purchase;D;93682.46
2021/08/29 00:54:56.755 +02:00;KN11000000068;Bill;C;335.7
2021/08/29 00:54:56.755 +02:00;KN11000000069;Bill;D;35172.89
2021/08/29 00:54:56.755 +02:00;KN11000000070;NEFT;D;24621.02
2021/08/29 00:54:56.755 +02:00;KN11000000071;NEFT;D;36931.53
2021/08/29 00:54:56.755 +02:00;KN11000000072;RTGS;D;92328.83
2021/08/29 00:54:56.755 +02:00;KN11000000073;IMPS;C;39082.7
2021/08/29 00:54:56.755 +02:00;KN11000000074;Interest;C;16.48
2021/08/29 00:54:56.755 +02:00;KN11000000075;ATM;D;18775.43
2021/08/29 00:54:56.755 +02:00;KN11000000076;Debit Card;C;1001957.0
2021/08/29 00:54:56.755 +02:00;KN11000000077;Commission;D;1114609.57
2021/08/29 00:54:56.755 +02:00;KN11000000078;Interest;C;229611.0
2021/08/29 00:54:56.755 +02:00;KN11000000079;Purchase;C;21743.97
2021/08/29 00:54:56.755 +02:00;KN11000000080;Purchase;D;125677.49
2021/08/29 00:54:56.755 +02:00;KN11000000081;Purchase;C;272.0
